time,.accel_opening,.max_velocity,.steer_angle,.vehicle_velocity,.direction_switch,.light_signal,.left_winker,.right_winker,.hone_signal
2019/04/05/16:39:11.831158,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:11.931180,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:12.031136,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:12.131201,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:12.231259,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:12.331300,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:12.431133,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:12.531191,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:12.631270,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:12.731253,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:12.831346,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:12.931275,0,2.0,0.0,0.0,0,0,0,0,0
