time,.accel_opening,.max_velocity,.steer_angle,.vehicle_velocity,.direction_switch,.light_signal,.left_winker,.right_winker,.hone_signal
2019/04/05/16:38:49.006761,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:49.016734,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:49.026751,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:49.036602,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:49.046772,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:49.056683,0,2.07999992371,0.1,0.0,1,0,0,0,0
2019/04/05/16:38:49.066701,0,2.07999992371,0.1,0.0,1,0,0,0,0
2019/04/05/16:38:49.076699,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:49.086715,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:49.096774,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:49.106754,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:49.116694,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:49.126721,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:49.136720,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:49.146677,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:49.156718,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:49.166719,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:49.176593,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:49.186691,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:49.196683,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:49.206692,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:49.216668,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:49.226689,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:49.236573,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:49.246644,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:49.256781,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:49.266741,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:49.276692,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:49.286690,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:49.296621,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:49.306751,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:49.316688,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:49.326654,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:49.336731,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:49.346730,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:49.356751,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:49.366668,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:49.376707,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:49.386718,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:49.396739,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:49.406753,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:49.416664,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:49.426726,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:49.436783,0,2.07999992371,-0.5,0.0,1,0,0,0,0
